step,train/node_label/f1_score,train/loss/total,train/loss/node_label,train/node_label/accuracy,epoch,lr-Adam,val/loss/node_label,val/node_label/f1_score,val/node_label/accuracy,val/loss/total,test/loss/total,test/node_label/accuracy,test/loss/node_label,test/node_label/f1_score
0,,,,,,0.001,,,,,,,,
49,,,,,,0.001,,,,,,,,
49,0.7571494579315186,1.2910057306289673,1.2910057306289673,0.8178620934486389,0,,,,,,,,,
66,,,,,0,,1.3079874515533447,0.7496020793914795,0.8121666312217712,1.3079874515533447,,,,
67,,,,,,0.001,,,,,,,,
99,,,,,,0.001,,,,,,,,
99,0.7503093481063843,1.3063960075378418,1.3063960075378418,0.8123273849487305,1,,,,,,,,,
133,,,,,1,,1.3079874515533447,0.7496011853218079,0.7787607908248901,1.3079874515533447,,,,
134,,,,,,0.001,,,,,,,,
149,,,,,,0.001,,,,,,,,
149,0.7256489992141724,1.3618817329406738,1.3618817329406738,0.6497372388839722,2,,,,,,,,,
199,,,,,,0.001,,,,,,,,
199,0.7584627866744995,1.2878628969192505,1.2878628969192505,0.1618380844593048,2,,,,,,,,,
200,,,,,2,,1.3079874515533447,0.7480056285858154,0.15623265504837036,1.3079874515533447,,,,
201,,,,,,0.001,,,,,,,,
249,,,,,,0.001,,,,,,,,
249,0.7828521728515625,1.2903492450714111,1.2903492450714111,0.14432650804519653,3,,,,,,,,,
267,,,,,3,,1.308000087738037,0.5789055228233337,0.054711878299713135,1.308000087738037,,,,
268,,,,,,0.001,,,,,,,,
299,,,,,,0.001,,,,,,,,
299,0.8330137729644775,1.3024121522903442,1.3024121522903442,0.11004913598299026,4,,,,,,,,,
334,,,,,4,,1.3151750564575195,0.4592383801937103,0.0008425887790508568,1.3151750564575195,,,,
335,,,,,,0.001,,,,,,,,
349,,,,,,0.001,,,,,,,,
349,0.4545454680919647,1.2620817422866821,1.2620817422866821,0.0,5,,,,,,,,,
399,,,,,,0.001,,,,,,,,
399,0.4545454680919647,1.3047327995300293,1.3047327995300293,0.0,5,,,,,,,,,
401,,,,,5,,1.3379944562911987,0.4545455276966095,0.0,1.3379944562911987,,,,
402,,,,,,0.001,,,,,,,,
449,,,,,,0.001,,,,,,,,
449,0.7924035787582397,1.2675691843032837,1.2675691843032837,0.09239881485700607,6,,,,,,,,,
468,,,,,6,,1.585144281387329,0.5648776292800903,0.05562996119260788,1.585144281387329,,,,
469,,,,,,0.001,,,,,,,,
499,,,,,,0.001,,,,,,,,
499,0.8076057434082031,1.2129284143447876,1.2129284143447876,0.11251969635486603,7,,,,,,,,,
535,,,,,7,,1.642482042312622,0.5565102100372314,0.04832582548260689,1.642482042312622,,,,
536,,,,,,0.001,,,,,,,,
549,,,,,,0.001,,,,,,,,
549,0.7258263230323792,1.2916842699050903,1.2916842699050903,0.08980697393417358,8,,,,,,,,,
599,,,,,,0.001,,,,,,,,
599,0.800948441028595,1.208601713180542,1.208601713180542,0.1779775470495224,8,,,,,,,,,
602,,,,,8,,1.5631983280181885,0.5962501168251038,0.12269127368927002,1.5631983280181885,,,,
603,,,,,,0.001,,,,,,,,
649,,,,,,0.001,,,,,,,,
649,0.7295224070549011,1.3208656311035156,1.3208656311035156,0.14165887236595154,9,,,,,,,,,
669,,,,,9,,1.6294087171554565,0.5611267685890198,0.055440753698349,1.6294087171554565,,,,
670,,,,,,0.001,,,,,,,,
699,,,,,,0.001,,,,,,,,
699,0.7287813425064087,1.3072293996810913,1.3072293996810913,0.1595604121685028,10,,,,,,,,,
736,,,,,10,,1.6169601678848267,0.5576168298721313,0.04352380707859993,1.6169601678848267,,,,
737,,,,,,0.001,,,,,,,,
749,,,,,,0.001,,,,,,,,
749,0.7829294204711914,1.1978108882904053,1.1978108882904053,0.10242688655853271,11,,,,,,,,,
799,,,,,,0.001,,,,,,,,
799,0.6980222463607788,1.307198405265808,1.307198405265808,0.09413570165634155,11,,,,,,,,,
803,,,,,11,,1.630372166633606,0.5492609143257141,0.041866596788167953,1.630372166633606,,,,
804,,,,,,0.001,,,,,,,,
849,,,,,,0.001,,,,,,,,
849,0.679153561592102,1.2597997188568115,1.2597997188568115,0.05643225833773613,12,,,,,,,,,
870,,,,,12,,1.5562686920166016,0.5620335340499878,0.03665401041507721,1.5562686920166016,,,,
871,,,,,,0.001,,,,,,,,
899,,,,,,0.001,,,,,,,,
899,0.704621434211731,1.2551932334899902,1.2551932334899902,0.07023923099040985,13,,,,,,,,,
937,,,,,13,,1.579755187034607,0.5736632943153381,0.07365520298480988,1.579755187034607,,,,
938,,,,,,0.001,,,,,,,,
949,,,,,,0.001,,,,,,,,
949,0.764449417591095,1.2629109621047974,1.2629109621047974,0.17812569439411163,14,,,,,,,,,
999,,,,,,0.001,,,,,,,,
999,0.7130434513092041,1.259473443031311,1.259473443031311,0.08394782990217209,14,,,,,,,,,
1004,,,,,14,,1.6570236682891846,0.5545268654823303,0.08507443219423294,1.6570236682891846,,,,
1005,,,,,,0.001,,,,,,,,
1049,,,,,,0.001,,,,,,,,
1049,0.7708498239517212,1.242552638053894,1.242552638053894,0.16589626669883728,15,,,,,,,,,
1071,,,,,15,,1.6175236701965332,0.5322125554084778,0.04433610662817955,1.6175236701965332,,,,
1072,,,,,,0.001,,,,,,,,
1099,,,,,,0.001,,,,,,,,
1099,0.7505123615264893,1.254507303237915,1.254507303237915,0.1169494241476059,16,,,,,,,,,
1138,,,,,16,,1.6481800079345703,0.5221255421638489,0.058138154447078705,1.6481800079345703,,,,
1139,,,,,,0.001,,,,,,,,
1149,,,,,,0.001,,,,,,,,
1149,0.7598409652709961,1.225832223892212,1.225832223892212,0.1487664431333542,17,,,,,,,,,
1199,,,,,,0.001,,,,,,,,
1199,0.6946203708648682,1.209688663482666,1.209688663482666,0.09063000231981277,17,,,,,,,,,
1205,,,,,17,,1.6277750730514526,0.5352327823638916,0.05976647883653641,1.6277750730514526,,,,
1206,,,,,,0.001,,,,,,,,
1249,,,,,,0.001,,,,,,,,
1249,0.6915902495384216,1.2569656372070312,1.2569656372070312,0.10065878182649612,18,,,,,,,,,
1272,,,,,18,,1.6844264268875122,0.5512452721595764,0.13955657184123993,1.6844264268875122,,,,
1273,,,,,,0.001,,,,,,,,
1299,,,,,,0.001,,,,,,,,
1299,0.7106630802154541,1.264591932296753,1.264591932296753,0.13717330992221832,19,,,,,,,,,
1339,,,,,19,,1.6278587579727173,0.535614013671875,0.06829255819320679,1.6278587579727173,,,,
1340,,,,,,0.001,,,,,,,,
1349,,,,,,0.001,,,,,,,,
1349,0.706237256526947,1.2631393671035767,1.2631393671035767,0.11692012846469879,20,,,,,,,,,
1399,,,,,,0.001,,,,,,,,
1399,0.6700320243835449,1.3084851503372192,1.3084851503372192,0.08338963240385056,20,,,,,,,,,
1406,,,,,20,,1.6198439598083496,0.5565037131309509,0.08620082587003708,1.6198439598083496,,,,
1407,,,,,,0.001,,,,,,,,
1449,,,,,,0.001,,,,,,,,
1449,0.7445226907730103,1.2813668251037598,1.2813668251037598,0.17508694529533386,21,,,,,,,,,
1473,,,,,21,,1.6227498054504395,0.5190680623054504,0.05709376931190491,1.6227498054504395,,,,
1474,,,,,,0.001,,,,,,,,
1499,,,,,,0.001,,,,,,,,
1499,0.7428804636001587,1.2275606393814087,1.2275606393814087,0.1646939516067505,22,,,,,,,,,
