train/loss/node_label,epoch,train/loss/total,step,train/node_label/accuracy,lr-Adam,train/node_label/f1_score,val/node_label/f1_score,val/node_label/accuracy,val/loss/total,val/loss/node_label,test/loss/total,test/loss/node_label,test/node_label/f1_score,test/node_label/accuracy
,,,0,,0.001,,,,,,,,,
,,,49,,0.001,,,,,,,,,
1.2910057306289673,0,1.2910057306289673,49,0.8178620934486389,,0.8178620934486389,,,,,,,,
,0,,66,,,,0.8121666312217712,0.8121666312217712,1.3079874515533447,1.3079874515533447,,,,
,,,67,,0.001,,,,,,,,,
,,,99,,0.001,,,,,,,,,
1.3063960075378418,1,1.3063960075378418,99,0.8123273849487305,,0.8123273849487305,,,,,,,,
,1,,133,,,,0.7787607908248901,0.7787607908248901,1.3079874515533447,1.3079874515533447,,,,
,,,134,,0.001,,,,,,,,,
,,,149,,0.001,,,,,,,,,
1.3618817329406738,2,1.3618817329406738,149,0.6497372388839722,,0.6497372388839722,,,,,,,,
,,,199,,0.001,,,,,,,,,
1.2878628969192505,2,1.2878628969192505,199,0.1618380844593048,,0.1618380844593048,,,,,,,,
,2,,200,,,,0.15623265504837036,0.15623265504837036,1.3079874515533447,1.3079874515533447,,,,
,,,201,,0.001,,,,,,,,,
,,,249,,0.001,,,,,,,,,
1.2903492450714111,3,1.2903492450714111,249,0.14432650804519653,,0.14432650804519653,,,,,,,,
,3,,267,,,,0.054711878299713135,0.054711878299713135,1.308000087738037,1.308000087738037,,,,
,,,268,,0.001,,,,,,,,,
,,,299,,0.001,,,,,,,,,
1.3024121522903442,4,1.3024121522903442,299,0.11004913598299026,,0.11004913598299026,,,,,,,,
,4,,334,,,,0.0008425887790508568,0.0008425887790508568,1.3151750564575195,1.3151750564575195,,,,
,,,335,,0.001,,,,,,,,,
,,,349,,0.001,,,,,,,,,
1.2620817422866821,5,1.2620817422866821,349,0.0,,0.0,,,,,,,,
,,,399,,0.001,,,,,,,,,
1.3047327995300293,5,1.3047327995300293,399,0.0,,0.0,,,,,,,,
,5,,401,,,,0.0,0.0,1.3379944562911987,1.3379944562911987,,,,
,,,402,,0.001,,,,,,,,,
,,,449,,0.001,,,,,,,,,
1.2675542831420898,6,1.2675542831420898,449,0.09257959574460983,,0.09257959574460983,,,,,,,,
,6,,468,,,,0.055041830986738205,0.055041830986738205,1.5864099264144897,1.5864099264144897,,,,
,,,469,,0.001,,,,,,,,,
,,,499,,0.001,,,,,,,,,
1.2128404378890991,7,1.2128404378890991,499,0.11238668113946915,,0.11238668113946915,,,,,,,,
,7,,535,,,,0.04812169447541237,0.04812169447541237,1.6422603130340576,1.6422603130340576,,,,
,,,536,,0.001,,,,,,,,,
,,,549,,0.001,,,,,,,,,
1.2916803359985352,8,1.2916803359985352,549,0.08916356414556503,,0.08916356414556503,,,,,,,,
,,,599,,0.001,,,,,,,,,
1.2085449695587158,8,1.2085449695587158,599,0.17641067504882812,,0.17641067504882812,,,,,,,,
,8,,602,,,,0.1207604855298996,0.1207604855298996,1.563742756843567,1.563742756843567,,,,
,,,603,,0.001,,,,,,,,,
,,,649,,0.001,,,,,,,,,
1.320868968963623,9,1.320868968963623,649,0.13917887210845947,,0.13917887210845947,,,,,,,,
,9,,669,,,,0.05512058734893799,0.05512058734893799,1.6292928457260132,1.6292928457260132,,,,
,,,670,,0.001,,,,,,,,,
,,,699,,0.001,,,,,,,,,
1.3072173595428467,10,1.3072173595428467,699,0.16023406386375427,,0.16023406386375427,,,,,,,,
,10,,736,,,,0.04351169243454933,0.04351169243454933,1.6169389486312866,1.6169389486312866,,,,
,,,737,,0.001,,,,,,,,,
,,,749,,0.001,,,,,,,,,
1.1978464126586914,11,1.1978464126586914,749,0.10239385068416595,,0.10239385068416595,,,,,,,,
,,,799,,0.001,,,,,,,,,
1.307205319404602,11,1.307205319404602,799,0.09428025037050247,,0.09428025037050247,,,,,,,,
,11,,803,,,,0.04213596135377884,0.04213596135377884,1.6304097175598145,1.6304097175598145,,,,
,,,804,,0.001,,,,,,,,,
,,,849,,0.001,,,,,,,,,
1.259777545928955,12,1.259777545928955,849,0.056384265422821045,,0.056384265422821045,,,,,,,,
,12,,870,,,,0.03668849170207977,0.03668849170207977,1.556291937828064,1.556291937828064,,,,
,,,871,,0.001,,,,,,,,,
,,,899,,0.001,,,,,,,,,
1.2551910877227783,13,1.2551910877227783,899,0.07041636109352112,,0.07041636109352112,,,,,,,,
,13,,937,,,,0.07361467182636261,0.07361467182636261,1.579766035079956,1.579766035079956,,,,
,,,938,,0.001,,,,,,,,,
,,,949,,0.001,,,,,,,,,
1.2629148960113525,14,1.2629148960113525,949,0.17843659222126007,,0.17843659222126007,,,,,,,,
,,,999,,0.001,,,,,,,,,
1.259487271308899,14,1.259487271308899,999,0.08402711898088455,,0.08402711898088455,,,,,,,,
,14,,1004,,,,0.08531397581100464,0.08531397581100464,1.6570323705673218,1.6570323705673218,,,,
,,,1005,,0.001,,,,,,,,,
,,,1049,,0.001,,,,,,,,,
1.242558479309082,15,1.242558479309082,1049,0.16604354977607727,,0.16604354977607727,,,,,,,,
,15,,1071,,,,0.0444558747112751,0.0444558747112751,1.617536187171936,1.617536187171936,,,,
,,,1072,,0.001,,,,,,,,,
,,,1099,,0.001,,,,,,,,,
1.2544831037521362,16,1.2544831037521362,1099,0.11705932766199112,,0.11705932766199112,,,,,,,,
,16,,1138,,,,0.05815400928258896,0.05815400928258896,1.6481642723083496,1.6481642723083496,,,,
,,,1139,,0.001,,,,,,,,,
,,,1149,,0.001,,,,,,,,,
1.2258243560791016,17,1.2258243560791016,1149,0.14872296154499054,,0.14872296154499054,,,,,,,,
,,,1199,,0.001,,,,,,,,,
1.20969557762146,17,1.20969557762146,1199,0.090843565762043,,0.090843565762043,,,,,,,,
,17,,1205,,,,0.059782326221466064,0.059782326221466064,1.627646803855896,1.627646803855896,,,,
,,,1206,,0.001,,,,,,,,,
,,,1249,,0.001,,,,,,,,,
1.256983995437622,18,1.256983995437622,1249,0.10043985396623611,,0.10043985396623611,,,,,,,,
,18,,1272,,,,0.1398371160030365,0.1398371160030365,1.6844252347946167,1.6844252347946167,,,,
,,,1273,,0.001,,,,,,,,,
,,,1299,,0.001,,,,,,,,,
1.2645877599716187,19,1.2645877599716187,1299,0.13691572844982147,,0.13691572844982147,,,,,,,,
,19,,1339,,,,0.06836619973182678,0.06836619973182678,1.627703070640564,1.627703070640564,,,,
,,,1340,,0.001,,,,,,,,,
,,,1349,,0.001,,,,,,,,,
1.2631570100784302,20,1.2631570100784302,1349,0.11687806248664856,,0.11687806248664856,,,,,,,,
,,,1399,,0.001,,,,,,,,,
1.3085201978683472,20,1.3085201978683472,1399,0.08309687674045563,,0.08309687674045563,,,,,,,,
,20,,1406,,,,0.08583080768585205,0.08583080768585205,1.620117425918579,1.620117425918579,,,,
,,,1407,,0.001,,,,,,,,,
,,,1449,,0.001,,,,,,,,,
1.2813621759414673,21,1.2813621759414673,1449,0.1750764101743698,,0.1750764101743698,,,,,,,,
,21,,1473,,,,0.057034123688936234,0.057034123688936234,1.6228947639465332,1.6228947639465332,,,,
,,,1474,,0.001,,,,,,,,,
,,,1499,,0.001,,,,,,,,,
1.2275350093841553,22,1.2275350093841553,1499,0.16498823463916779,,0.16498823463916779,,,,,,,,
