val/loss/total,lr-Adam,step,val/loss/node_label,val/node_label/accuracy,epoch,val/node_label/f1_score,train/node_label/accuracy,train/node_label/f1_score,train/loss/node_label,train/loss/total,test/node_label/accuracy,test/loss/total,test/loss/node_label,test/node_label/f1_score
,0.0001,0,,,,,,,,,,,,
1.7701923847198486,,22,1.7701923847198486,0.0,0,0.4545455276966095,,,,,,,,
,0.0001,23,,,,,,,,,,,,
1.7416945695877075,,45,1.7416945695877075,0.0,1,0.4545455276966095,,,,,,,,
,0.0001,46,,,,,,,,,,,,
,0.0001,49,,,,,,,,,,,,
,,49,,,2,,0.0,0.4545454680919647,1.6939053535461426,1.6939053535461426,,,,
1.6622471809387207,,68,1.6622471809387207,0.0,2,0.4545455276966095,,,,,,,,
,0.0001,69,,,,,,,,,,,,
1.4531327486038208,,91,1.4531327486038208,0.0,3,0.4545455276966095,,,,,,,,
,0.0001,92,,,,,,,,,,,,
,0.0001,99,,,,,,,,,,,,
,,99,,,4,,0.0,0.4545454680919647,1.3182508945465088,1.3182508945465088,,,,
1.3364406824111938,,114,1.3364406824111938,0.0,4,0.4545455276966095,,,,,,,,
,0.0001,115,,,,,,,,,,,,
1.3432838916778564,,137,1.3432838916778564,0.0,5,0.4545455276966095,,,,,,,,
,0.0001,138,,,,,,,,,,,,
,0.0001,149,,,,,,,,,,,,
,,149,,,6,,0.0,0.4545454680919647,1.2841367721557617,1.2841367721557617,,,,
1.3759461641311646,,160,1.3759461641311646,0.0,6,0.4545455276966095,,,,,,,,
,0.0001,161,,,,,,,,,,,,
1.403481125831604,,183,1.403481125831604,0.0,7,0.4545455276966095,,,,,,,,
,0.0001,184,,,,,,,,,,,,
,0.0001,199,,,,,,,,,,,,
,,199,,,8,,0.0,0.4545454680919647,1.2914901971817017,1.2914901971817017,,,,
1.4164243936538696,,206,1.4164243936538696,0.0,8,0.4545455276966095,,,,,,,,
,0.0001,207,,,,,,,,,,,,
1.4132463932037354,,229,1.4132463932037354,0.0,9,0.4545455276966095,,,,,,,,
,0.0001,230,,,,,,,,,,,,
,0.0001,249,,,,,,,,,,,,
,,249,,,10,,0.0,0.4545454680919647,1.3159030675888062,1.3159030675888062,,,,
1.3867651224136353,,252,1.3867651224136353,0.0,10,0.4545455276966095,,,,,,,,
,0.0001,253,,,,,,,,,,,,
1.370230793952942,,275,1.370230793952942,0.0,11,0.4545455276966095,,,,,,,,
,0.0001,276,,,,,,,,,,,,
1.3914852142333984,,298,1.3914852142333984,0.0,12,0.4545455276966095,,,,,,,,
